iter	Passed	Remaining
0	11	1154
1	20	998
2	28	933
3	37	899
4	46	877
5	55	876
6	65	866
7	74	856
8	83	840
9	91	826
10	100	812
11	109	800
12	118	793
13	127	784
14	136	772
15	145	762
16	155	757
17	163	746
18	172	733
19	180	723
20	190	717
21	199	707
22	208	697
23	217	688
24	227	681
25	236	672
26	245	664
27	254	654
28	263	645
29	272	635
30	281	625
31	291	618
32	300	610
33	309	601
34	318	592
35	328	583
36	337	574
37	346	565
38	355	555
39	364	546
40	372	536
41	382	528
42	391	518
43	400	510
44	409	501
45	418	491
46	427	481
47	435	472
48	444	462
49	453	453
50	461	443
51	471	434
52	479	425
53	488	416
54	497	406
55	505	397
56	514	388
57	523	378
58	531	369
59	540	360
60	549	351
61	557	341
62	565	332
63	573	322
64	582	313
65	590	304
66	598	294
67	606	285
68	614	275
69	621	266
70	628	256
71	636	247
72	644	238
73	652	229
74	660	220
75	669	211
76	677	202
77	685	193
78	693	184
79	701	175
80	709	166
81	718	157
82	726	148
83	734	139
84	742	131
85	750	122
86	758	113
87	766	104
88	774	95
89	783	87
90	791	78
91	799	69
92	807	60
93	814	51
94	823	43
95	831	34
96	839	25
97	847	17
98	854	8
99	863	0
