,POLICYNO,PLCYDATE,CLM_FREQ5,CLM_AMT5,CLM_AMT,KIDSDRIV,TRAVTIME,CAR_USE,BLUEBOOK,RETAINED,NPOLICY,CAR_TYPE,RED_CAR,REVOLKED,MVR_PTS,CLM_FLAG,AGE,HOMEKIDS,YOJ,INCOME,GENDER,MARRIED,PARENT1,JOBCLASS,MAX_EDUC,HOME_VAL,SAMEHOME,AREA,IN_YY
1,00000160,10173.0,2,4461,0,0,14,Private,14230,11,1,Sedan,yes,No,3,No,60,0,11,67349,M,No,No,Professional,PhD,0,18,Urban,0
2,00024836,10436.0,0,0,0,0,22,Commercial,14940,1,1,Sedan,yes,No,0,No,43,0,11,91449,M,No,No,Blue Collar,High School,257252,1,Urban,1
3,00028046,9431.0,0,0,0,0,26,Private,21970,1,1,Van,yes,No,2,No,48,0,11,52881,M,No,No,Manager,Bachelors,0,10,Urban,1
4,00028960,8927.0,2,38690,0,0,5,Private,4010,4,1,SUV,no,No,3,No,35,1,10,16039,F,Yes,No,Clerical,High School,124191,10,Urban,0
5,00040933,8663.0,0,0,0,0,32,Private,15440,7,1,Sedan,yes,No,0,No,51,0,14,-2147483648,M,Yes,No,Blue Collar,<High School,306251,6,Urban,0
6,00055277,10112.0,2,19217,0,0,36,Private,18000,1,1,SUV,no,Yes,3,No,50,0,-2147483648,114986,F,Yes,No,Doctor,PhD,243925,17,Urban,1
7,00063212,9148.0,0,0,2946,0,46,Commercial,17430,1,1,Sports Car,no,No,0,Yes,34,1,12,125301,F,No,Yes,Blue Collar,Bachelors,0,7,Urban,1
8,00069651,8592.0,0,0,0,0,33,Private,8780,1,1,SUV,no,No,0,No,54,0,-2147483648,18755,F,Yes,No,Blue Collar,<High School,-2147483648,1,Urban,1
9,00088070,10077.0,1,3295,6477,1,21,Private,18930,6,1,Sedan,no,No,2,Yes,40,1,11,50815,M,No,Yes,Manager,High School,0,1,Urban,0
10,00093553,8891.0,0,0,0,0,30,Commercial,5900,10,1,SUV,no,No,0,No,44,2,12,43486,F,No,Yes,Blue Collar,High School,0,10,Rural,0
11,00127444,8952.0,1,2374,4021,1,44,Commercial,16970,1,2,Van,yes,Yes,10,Yes,37,2,-2147483648,107961,M,Yes,No,Blue Collar,Bachelors,333680,7,Urban,1
12,00141509,9372.0,0,0,2501,0,34,Private,11200,1,1,SUV,no,No,0,Yes,34,0,10,62978,F,No,No,Clerical,Bachelors,0,1,Urban,1
13,00145326,9634.0,0,0,0,0,48,Commercial,18510,7,1,Van,no,No,1,No,50,0,7,106952,M,No,No,Professional,Bachelors,0,17,Rural,0
14,00146809,8832.0,0,0,6077,0,15,Private,18300,1,1,Sports Car,no,No,0,Yes,53,0,14,77100,F,No,No,Lawyer,Masters,0,11,Urban,1
15,00148250,9928.0,0,0,0,0,36,Private,22420,7,3,Sedan,no,No,0,No,43,0,5,52642,F,Yes,No,Professional,Masters,209970,1,Rural,0
16,00157851,9391.0,2,5028,0,0,25,Commercial,17600,7,2,Van,yes,Yes,3,No,55,0,11,59162,M,Yes,No,Manager,Bachelors,180232,9,Urban,0
17,00169267,8981.0,0,0,1267,0,64,Commercial,28340,6,3,Panel Truck,yes,No,3,Yes,53,0,11,130795,M,No,No,Unknown,PhD,0,10,Urban,0
18,00173110,9993.0,0,0,0,0,74,Private,9230,6,5,Pickup,no,Yes,0,No,35,2,-2147483648,21204,M,No,Yes,Clerical,High School,0,4,Rural,0
19,00187406,9052.0,0,0,2920,0,48,Private,6000,1,1,SUV,no,No,3,Yes,45,0,0,0,F,Yes,No,Home Maker,<High School,106859,5,Urban,1
20,00187972,9336.0,0,0,0,0,43,Private,10590,6,1,SUV,no,No,0,No,39,3,12,51884,F,No,Yes,Clerical,Bachelors,180951,13,Rural,0
21,00253499,8581.0,2,44857,4111,0,45,Private,15420,1,2,Sedan,yes,No,4,Yes,59,0,12,87460,M,No,No,Manager,High School,0,1,Urban,1
22,00262035,10510.0,0,0,0,0,42,Private,14190,6,1,Sedan,no,No,0,No,42,0,11,59945,M,Yes,No,Lawyer,Masters,192207,16,Urban,0
23,00277578,10325.0,0,0,0,0,27,Private,8300,7,1,SUV,no,No,0,No,34,3,13,34019,F,Yes,No,Lawyer,Masters,91875,20,Urban,0
24,00282990,9473.0,0,0,0,0,48,Private,17330,4,2,Sedan,no,No,0,No,31,2,12,18903,F,Yes,No,Clerical,<High School,93797,7,Urban,0
25,00288597,10559.0,2,8935,6857,0,29,Commercial,8710,6,1,SUV,no,No,0,Yes,28,1,13,44077,F,Yes,No,Blue Collar,High School,170598,1,Urban,0
26,00292034,9492.0,0,0,3627,0,52,Commercial,26560,1,1,Panel Truck,yes,No,3,Yes,43,0,13,37214,M,Yes,No,Blue Collar,<High School,-2147483648,1,Urban,1
27,00313495,8630.0,1,8250,0,0,36,Private,11130,6,2,SUV,no,No,5,No,48,0,14,96274,F,Yes,No,Lawyer,Masters,282904,14,Urban,0
28,00316551,8940.0,0,0,0,0,29,Private,19700,10,1,Sedan,no,No,1,No,47,0,11,46281,F,No,No,Blue Collar,<High School,0,5,Urban,0
29,00318204,8737.0,3,3338,0,2,8,Private,5900,6,1,SUV,no,No,0,No,44,2,0,0,F,Yes,No,Home Maker,High School,82344,11,Urban,0
30,00328102,9160.0,1,2119,0,0,7,Commercial,25660,1,1,Panel Truck,no,No,2,No,46,0,14,-2147483648,M,Yes,No,Professional,Bachelors,207519,12,Urban,0
31,00339538,8829.0,0,0,5247,0,16,Commercial,11290,1,2,Sports Car,no,No,0,Yes,60,0,12,37940,F,Yes,No,Blue Collar,High School,182739,1,Urban,1
