# Sprint 22 D1 parity sweep — Mon Apr 20 12:33:51 CDT 2026
# DEC-008 envelope: RMSE ulp<=4, Logloss ulp<=4, MultiClass ulp<=8
N	Loss	Bins	T1_loss	T2_loss	abs_delta	ulp_delta	threshold	pass_fail
1000	RMSE	32	0.40689126	0.44199428	3.510302e-02	1177862	4	FAIL
1000	RMSE	128	0.46936080	0.47110140	1.740600e-03	58405	4	FAIL
10000	RMSE	32	0.44631991	0.44638219	6.228000e-05	2090	4	FAIL
10000	RMSE	128	0.48231599	0.48304346	7.274700e-04	24410	4	FAIL
50000	RMSE	32	0.44676545	0.44680500	3.955000e-05	1327	4	FAIL
50000	RMSE	128	0.47740927	0.47805217	6.429000e-04	21572	4	FAIL
1000	Logloss	32	0.34161490	0.41860044	7.698554e-02	2583206	4	FAIL
1000	Logloss	128	0.61407095	0.62744278	1.337183e-02	224342	4	FAIL
10000	Logloss	32	0.30072498	0.36359265	6.286767e-02	2109489	4	FAIL
10000	Logloss	128	0.60412812	0.60317880	9.493200e-04	15927	4	FAIL
50000	Logloss	32	0.30282399	0.36709177	6.426778e-02	2156469	4	FAIL
50000	Logloss	128	0.60559267	0.60668176	1.089090e-03	18272	4	FAIL
1000	MultiClass	32	0.61065382	0.60799098	2.662840e-03	44675	8	FAIL
1000	MultiClass	128	0.99084771	0.99501383	4.166120e-03	69896	8	FAIL
10000	MultiClass	32	0.57359385	0.55636895	1.722490e-02	288986	8	FAIL
10000	MultiClass	128	0.95665115	0.94599903	1.065212e-02	178713	8	FAIL
50000	MultiClass	32	0.56538904	0.57125396	5.864920e-03	98397	8	FAIL
50000	MultiClass	128	0.94917130	0.94502950	4.141800e-03	69488	8	FAIL
