iterations,seed,cpu_rmse,mlx_rmse,drift_pct
1,0,0.572943,0.572969,0.0046
1,1,0.570053,0.570044,0.0015
1,2,0.596539,0.596533,0.001
2,0,0.559999,0.559757,0.0433
2,1,0.556984,0.556993,0.0016
2,2,0.582668,0.582612,0.0095
5,0,0.523152,0.522971,0.0346
5,1,0.520274,0.520251,0.0044
5,2,0.543768,0.543699,0.0127
10,0,0.468845,0.468664,0.0386
10,1,0.466282,0.466114,0.0359
10,2,0.486781,0.486648,0.0273
25,0,0.345285,0.344656,0.1823
25,1,0.343174,0.343349,0.0508
25,2,0.357347,0.357292,0.0154
50,0,0.225142,0.225349,0.0921
50,1,0.226358,0.226804,0.197
50,2,0.231927,0.231934,0.0029
