leaf,gSum_f32,gSum_f64,gSum_residual,hSum_f32,hSum_f64,hSum_residual,leafVal_f32,leafVal_f64,leafVal_residual
0,30.20099068,30.2009969316423,6.254762e-06,52,52,0.000000e+00,-0.01647326723,-0.0164732706854168,3.458005e-09
1,-11.75154018,-11.7515410096385,8.256175e-07,80,80,0.000000e+00,0.004247544799,0.00424754484830279,4.930276e-11
2,10.396245,10.3962455298752,5.271286e-07,56,56,0.000000e+00,-0.005286226049,-0.00528622642245812,3.733925e-10
3,-32.20137024,-32.2013756483793,5.409122e-06,52,52,0.000000e+00,0.0175643824,0.0175643863247032,3.920614e-09
4,1457.278809,1457.27888130408,7.271033e-05,2203,2203,0.000000e+00,-0.01981793344,-0.0198179353861926,1.945984e-09
5,-351.2608643,-351.261305987544,4.417297e-04,2380,2380,0.000000e+00,0.004422083497,0.00442208935966733,5.862620e-09
6,397.5114441,397.511277360725,1.667311e-04,2335,2335,0.000000e+00,-0.005100660026,-0.00510065785041474,2.175659e-09
7,-1544.382568,-1544.38155857578,1.009784e-03,2451,2451,0.000000e+00,0.01887998171,0.018879969731738,1.197977e-08
8,64.14352417,64.1435200124979,4.157424e-06,97,97,0.000000e+00,-0.01924305782,-0.0192430555736336,2.243587e-09
9,-14.28691292,-14.2869090470485,3.871042e-06,112,112,0.000000e+00,0.003727020696,0.00372701966809858,1.027707e-09
10,16.79247284,16.7924779022578,5.062902e-06,89,89,0.000000e+00,-0.005475806072,-0.00547580788921196,1.816858e-09
11,-54.86261749,-54.8626179946586,5.019829e-07,97,97,0.000000e+00,0.01645878516,0.0164587850305151,1.308609e-10
12,2712.373291,2712.37433168251,1.040667e-03,4132,4132,0.000000e+00,-0.01967864484,-0.019678652510686,7.674737e-09
13,-617.6245728,-617.624258199765,3.145541e-04,4482,4482,0.000000e+00,0.004131267779,0.00413126584879456,1.929781e-09
14,758.3432007,758.341031631571,2.169052e-03,4250,4250,0.000000e+00,-0.005349234678,-0.00534921947811894,1.519973e-08
15,-2858.143311,-2858.15048148582,7.170939e-03,4574,4574,0.000000e+00,0.0187337324,0.0187337803207418,4.791842e-08
16,8.295718193,8.29571822285652,2.980232e-08,11,11,0.000000e+00,-0.01777653769,-0.0177765386516416,9.650553e-10
17,-1.045275927,-1.04527589073405,3.585592e-08,14,14,0.000000e+00,0.0018446045,0.00184460447182996,2.780812e-11
