max_leaves,seed,num_splits_mlx,num_splits_cpu,bfs_seq_match,first_divergent_bfs_pos,queue_flips,common_bfs_positions,flip_rate,mlx_only_bfs,cpu_only_bfs,structural_divergence_rate,gain_max,gain_min,gain_mean,last_pop_gain,mlx_rmse,cpu_rmse,drift_pct
8,0,7,7,0,3,0,3,0.0,4,4,0.7273,13.523242,9.8883991,11.45067,9.8883991,0.57041300,0.56811941,0.4037
8,1,7,7,0,5,0,3,0.0,4,4,0.7273,13.266708,10.102324,11.559017,10.102324,0.55582200,0.55481623,0.1813
8,2,7,7,0,2,1,3,0.3333,4,4,0.8182,14.336128,11.019199,12.15664,11.019199,0.59701700,0.59432858,0.4523
16,0,15,15,0,3,3,6,0.5,9,9,0.875,13.523242,7.6308355,9.7912692,7.6452618,0.57060500,0.56625610,0.7680
16,1,15,15,0,4,1,6,0.1667,9,9,0.7917,13.266708,7.6135602,10.152398,7.6135602,0.55644200,0.55312680,0.5994
16,2,15,15,0,2,4,7,0.5714,8,8,0.8696,14.336128,8.8299198,10.570097,8.8299198,0.59643400,0.59339236,0.5126
31,0,30,30,0,3,10,14,0.7143,16,16,0.913,13.523242,5.5850701,8.2203168,5.5850701,0.56933800,0.56593263,0.6017
31,1,30,30,0,6,5,11,0.4545,19,19,0.8776,13.266708,5.440649,8.074808,5.440649,0.55648500,0.55278839,0.6687
31,2,30,30,0,2,7,12,0.5833,18,18,0.8958,14.336128,6.0954051,8.8292792,6.0954051,0.59634100,0.59278984,0.5991
64,0,63,63,0,3,36,42,0.8571,21,21,0.9286,13.523242,3.6714482,6.2828426,3.6714482,0.56941100,0.56671402,0.4759
64,1,63,63,0,7,26,35,0.7429,28,28,0.9011,13.266708,3.4608815,6.069728,3.4608815,0.55664300,0.55369582,0.5323
64,2,63,63,0,2,27,32,0.8438,31,31,0.9468,14.336128,3.8079529,6.7656303,3.8079529,0.59678300,0.59385262,0.4935
