run,iter,ms,score_fn
0,0,21,Cosine
0,1,12,Cosine
0,2,12,Cosine
0,3,11,Cosine
0,4,13,Cosine
0,5,12,Cosine
0,6,12,Cosine
0,7,11,Cosine
0,8,12,Cosine
0,9,12,Cosine
0,10,12,Cosine
0,11,12,Cosine
0,12,12,Cosine
0,13,12,Cosine
0,14,13,Cosine
0,15,11,Cosine
0,16,12,Cosine
0,17,12,Cosine
0,18,13,Cosine
0,19,13,Cosine
0,20,14,Cosine
0,21,13,Cosine
0,22,12,Cosine
0,23,14,Cosine
0,24,12,Cosine
0,25,13,Cosine
0,26,13,Cosine
0,27,12,Cosine
0,28,12,Cosine
0,29,13,Cosine
0,30,14,Cosine
0,31,13,Cosine
0,32,11,Cosine
0,33,12,Cosine
0,34,15,Cosine
0,35,13,Cosine
0,36,15,Cosine
0,37,15,Cosine
0,38,13,Cosine
0,39,15,Cosine
0,40,16,Cosine
0,41,12,Cosine
0,42,14,Cosine
0,43,13,Cosine
0,44,14,Cosine
0,45,15,Cosine
0,46,15,Cosine
0,47,13,Cosine
0,48,12,Cosine
0,49,16,Cosine
1,0,21,Cosine
1,1,12,Cosine
1,2,11,Cosine
1,3,11,Cosine
1,4,12,Cosine
1,5,12,Cosine
1,6,11,Cosine
1,7,11,Cosine
1,8,12,Cosine
1,9,12,Cosine
1,10,11,Cosine
1,11,12,Cosine
1,12,12,Cosine
1,13,11,Cosine
1,14,14,Cosine
1,15,12,Cosine
1,16,14,Cosine
1,17,12,Cosine
1,18,13,Cosine
1,19,14,Cosine
1,20,14,Cosine
1,21,13,Cosine
1,22,11,Cosine
1,23,14,Cosine
1,24,12,Cosine
1,25,14,Cosine
1,26,13,Cosine
1,27,13,Cosine
1,28,13,Cosine
1,29,13,Cosine
1,30,15,Cosine
1,31,13,Cosine
1,32,11,Cosine
1,33,13,Cosine
1,34,14,Cosine
1,35,12,Cosine
1,36,15,Cosine
1,37,13,Cosine
1,38,13,Cosine
1,39,12,Cosine
1,40,14,Cosine
1,41,12,Cosine
1,42,14,Cosine
1,43,14,Cosine
1,44,14,Cosine
1,45,15,Cosine
