feat,bin,sumLeft,sumRight,weightLeft,weightRight,lambda,cosNum_term,cosDen_term,gain
0,0,-2.32041430473328,2.32000732421875,781,49219,3,0.00697710851730082,0.00695082216502786,0.0836868823549492
0,1,434.561920166016,-434.562316894531,1171,48829,3,164.722475670437,164.311194009091,12.8504780765803
0,2,845.377746582031,-845.378173828125,1561,48439,3,471.698982121751,470.82157360001,21.7388598080689
0,3,1234.15600585938,-1234.15637207031,1952,48048,3,810.798724068683,809.601194717332,28.4955790388093
0,4,1598.82165527344,-1598.82202148438,2342,47658,3,1143.71066909784,1142.31273829102,33.8394785812933
0,5,1929.84753417969,-1929.84790039062,2733,47267,3,1440.01305331971,1438.51548178402,37.9672514663287
0,6,2247.52807617188,-2247.52856445312,3123,46877,3,1723.67666793635,1722.11898055968,41.535957485883
0,7,2551.92651367188,-2551.92700195312,3514,46486,3,1991.7548516568,1990.1663365602,44.6468882978163
0,8,2840.33447265625,-2840.3349609375,3904,46096,3,2239.88737554068,2238.29046063335,47.344328380194
0,9,3124.33129882812,-3124.33178710938,4295,45705,3,2484.72115359617,2483.12186909522,49.8630270655076
0,10,3395.8056640625,-3395.80615234375,4685,45315,3,2714.24750273936,2712.6565601742,52.1137158373346
0,11,3665.94653320312,-3665.94702148438,5076,44924,3,2945.15902149146,2943.57612565904,54.2839089281487
0,12,3922.60180664062,-3922.60229492188,5467,44533,3,3158.43571388608,3156.86969294658,56.2138996305889
0,13,4165.412109375,-4165.41259765625,5858,44142,3,3353.39595728549,3351.85396422204,57.9218323236608
0,14,4400.5224609375,-4400.52294921875,6248,43752,3,3540.40891443447,3538.89184498985,59.5140876954679
0,15,4624.14013671875,-4624.140625,6639,43361,3,3712.40967592353,3710.9214919753,60.9417628287483
0,16,4845.041015625,-4845.04150390625,7029,42971,3,3884.47564757947,3883.01335535834,62.337296143487
0,17,5058.12890625,-5058.12939453125,7421,42579,3,4047.04372330873,4045.60879732859,63.6276603234698
0,18,5257.716796875,-5257.71728515625,7811,42189,3,4192.88536401837,4191.48056208121,64.7633433107341
0,19,5450.28515625,-5450.28564453125,8202,41798,3,4331.07119041085,4329.69644898403,65.8213215329046
0,20,5650.1474609375,-5650.14794921875,8592,41408,3,4485.18225511243,4483.82997692049,66.9816015121907
0,21,5836.3876953125,-5836.38818359375,8983,41017,3,4621.13148500333,4619.80521052762,67.9886618505754
0,22,6002.091796875,-6002.09228515625,9373,40627,3,4728.93097982058,4727.63611657214,68.7766399129975
0,23,6189.22021484375,-6189.220703125,9764,40236,3,4874.00122016943,4872.72556887856,69.8231852998587
0,24,6360.99853515625,-6360.9990234375,10154,39846,3,4999.07717529505,4997.82409963844,70.7130155284592
0,25,6527.4052734375,-6527.40576171875,10545,39455,3,5119.15284475707,5117.92189987101,71.5568591101213
0,26,6710.15234375,-6710.15283203125,10935,39065,3,5268.99507743951,5267.77753514159,72.5962320037905
0,27,6858.576171875,-6858.57666015625,11326,38674,3,5368.4103614984,5367.21649680223,73.2775851932472
0,28,7015.53369140625,-7015.5341796875,11716,38284,3,5485.31619958806,5484.14034246748,74.0708600518768
0,29,7169.9111328125,-7169.91162109375,12107,37893,3,5601.60088091924,5600.44186728508,74.8515873873876
0,30,7313.15576171875,-7313.15625,12497,37503,3,5704.54507015006,5703.40415202979,75.5359928544097
0,31,7447.4453125,-7447.44580078125,12888,37112,3,5796.96533789396,5795.84324974585,76.1451747865932
0,32,7584.5791015625,-7584.57958984375,13279,36721,3,5897.55020834231,5896.44397866303,76.8027124883029
0,33,7710.86572265625,-7710.8662109375,13670,36330,3,5984.98876756312,5983.89953266392,77.3697499073969
0,34,7832.84716796875,-7832.84765625,14060,35940,3,6069.72671526815,6068.65355340967,77.91533909893
0,35,7954.232421875,-7954.23291015625,14452,35548,3,6156.71100518452,6155.65241505817,78.4714583613498
0,36,8066.07958984375,-8066.080078125,14842,35158,3,6233.12330092702,6232.07972371194,78.9567416557427
0,37,8170.216796875,-8170.21728515625,15234,34766,3,6300.82802607588,6299.79981092852,79.3842327483379
0,38,8268.828125,-8268.828125,15624,34376,3,6364.16153048296,6363.14802249479,79.7820481054505
0,39,8372.4208984375,-8372.4208984375,16015,33985,3,6438.58337378102,6437.58172243331,80.2470259946125
0,40,8459.9931640625,-8459.9931640625,16405,33595,3,6492.21759986052,6491.22985395886,80.5804287408781
0,41,8551.080078125,-8551.080078125,16796,33204,3,6554.67240834726,6553.6961629477,80.9669611580511
0,42,8648.365234375,-8648.365234375,17186,32814,3,6630.4143982505,6629.44661861895,81.4332998174606
0,43,8730.51171875,-8730.51171875,17577,32423,3,6686.3524708623,6685.39511081227,81.7759742712242
0,44,8802.2509765625,-8802.2509765625,17967,32033,3,6730.12683778416,6729.18055532489,82.0431182568848
