leaf,gSum_f32,gSum_f64,gSum_residual,hSum_f32,hSum_f64,hSum_residual,leafVal_f32,leafVal_f64,leafVal_residual
0,68.49499512,68.4949863413349,8.775853e-06,108,108,0.000000e+00,-0.01851216145,-0.0185121580568521,3.391746e-09
1,-13.61910534,-13.6191080943681,2.755318e-06,77,77,0.000000e+00,0.005107164383,0.005107165421234,1.038299e-09
2,14.64380741,14.6438062842935,1.126900e-06,99,99,0.000000e+00,-0.004307002295,-0.00430700175205263,5.427560e-10
3,-64.18039703,-64.1803945451975,2.488494e-06,99,99,0.000000e+00,0.01887658797,0.0188765862090158,1.763029e-09
4,58.08619308,58.0861899053562,3.179361e-06,94,94,0.000000e+00,-0.01796480082,-0.0179648006001119,2.196427e-10
5,-23.35754776,-23.3575445334427,3.226567e-06,88,88,0.000000e+00,0.007700290065,0.00770028923451458,8.307442e-10
6,12.11543369,12.1154346000403,9.071082e-07,91,91,0.000000e+00,-0.003866627812,-0.00386662797741678,1.650312e-10
7,-50.27260208,-50.2726075295359,5.448237e-06,71,71,0.000000e+00,0.02038078383,0.0203807863807523,2.554640e-09
8,243.268158,243.268238175195,8.021621e-05,402,402,0.000000e+00,-0.01801986247,-0.0180198690916834,6.618672e-09
9,-76.16930389,-76.1693222844624,1.839042e-05,335,335,0.000000e+00,0.006760588847,0.00676059058419633,1.737096e-09
10,33.8783989,33.8783929178026,5.977461e-06,394,394,0.000000e+00,-0.002560080495,-0.00256008001213311,4.825986e-10
11,-219.688446,-219.688559097238,1.130523e-04,307,307,0.000000e+00,0.02126017213,0.0212601826632403,1.053456e-08
12,186.4633026,186.46328204684,2.056547e-05,312,312,0.000000e+00,-0.01775841042,-0.0177584074170534,3.006941e-09
13,-64.27018738,-64.270192053169,4.675239e-06,245,245,0.000000e+00,0.007774619386,0.00777461983265544,4.470553e-10
14,23.32639313,23.3263811474899,1.197995e-05,319,319,0.000000e+00,-0.002173266374,-0.00217326527572403,1.097851e-09
15,-181.6052856,-181.605264429934,2.121460e-05,263,263,0.000000e+00,0.0204817988,0.0204817962824143,2.515432e-09
