iter	Passed	Remaining
0	20	2026
1	30	1507
2	35	1158
3	47	1145
4	58	1118
5	68	1080
6	72	969
7	84	969
8	94	954
9	105	950
10	115	934
11	121	892
12	131	879
13	142	877
14	152	866
15	164	865
16	177	866
17	189	861
18	200	852
19	212	849
20	223	840
21	234	832
22	244	817
23	252	799
24	258	776
25	263	750
26	268	727
27	276	712
28	282	690
29	290	677
30	304	677
31	317	673
32	329	669
33	336	653
34	349	649
35	362	644
36	368	628
37	380	620
38	392	613
39	404	606
40	416	599
41	428	592
42	438	581
43	449	571
44	458	560
45	468	549
46	477	538
47	487	528
48	496	516
49	500	500
50	512	492
51	524	484
52	535	475
53	548	467
54	555	454
55	566	444
56	578	436
57	590	427
58	602	419
59	614	409
60	626	400
61	637	390
62	643	377
63	655	368
64	668	359
65	677	349
66	681	335
67	685	322
68	696	312
69	707	303
70	716	292
71	727	282
72	737	272
73	748	263
74	755	251
75	767	242
76	779	232
77	785	221
78	798	212
79	811	202
80	820	192
81	833	182
82	847	173
83	859	163
84	869	153
85	875	142
86	888	132
87	900	122
88	912	112
89	922	102
90	933	92
91	945	82
92	955	71
93	959	61
94	970	51
95	980	40
96	993	30
97	1006	20
98	1020	10
99	1034	0
